Ocupação;Ocupação CBO;Sinônimo Ocupação-completo;
 30305;Tenente do Corpo de Bombeiros Militar                                                                                                                 ;PRIMEIRO-TENENTE BOMBEIRO MILITAR                                                                                                           
 30305;Tenente do Corpo de Bombeiros Militar                                                                                                                 ;PRIMEIRO-TENENTE DO CORPO DE BOMBEIROS                                                                                                      
 30305;Tenente do Corpo de Bombeiros Militar                                                                                                                 ;SEGUNDO-TENENTE BOMBEIRO MILITAR                                                                                                            
 30305;Tenente do Corpo de Bombeiros Militar                                                                                                                 ;SEGUNDO-TENENTE DO CORPO DE BOMBEIROS                                                                                                       
 31105;Subtenente Bombeiro Militar                                                                                                                           ;SUBTENENTE DO CORPO DE BOMBEIROS MILITAR                                                                                                    
 31110;Sargento Bombeiro Militar                                                                                                                             ;SARGENTO DO CORPO DE BOMBEIROS MILITAR                                                                                                      
111320;Ministro do Superior Tribunal do Trabalho                                                                                                             ;JUIZ DO TRIBUNAL REGIONAL DO TRABALHO                                                                                                       
111320;Ministro do Superior Tribunal do Trabalho                                                                                                             ;JUIZ FEDERAL  DE SEGUNDA  INSTÂNCIA                                                                                                         
111325;Juiz de Direito                                                                                                                                       ;DESEMBARGADORES                                                                                                                             
111325;Juiz de Direito                                                                                                                                       ;JUIZ DE ALÇADA                                                                                                                              
111325;Juiz de Direito                                                                                                                                       ;JUIZ DE DIREITO DE PRIMEIRA INSTÂNCIA                                                                                                       
111330;Juiz Federal                                                                                                                                          ;JUIZ DO TRIBUNAL REGIONAL FEDERAL                                                                                                           
111340;Juiz Auditor Estadual - Justiça Militar                                                                                                               ;JUIZ DOS TRIBUNAIS MILITARES ESTADUAIS                                                                                                      
111405;Dirigente do Serviço Público Federal                                                                                                                  ;CONSELHEIRO (DIPLOMACIA)                                                                                                                    
111405;Dirigente do Serviço Público Federal                                                                                                                  ;COORDENADOR  DO SERVIÇO PÚBLICO FEDERAL                                                                                                     
111405;Dirigente do Serviço Público Federal                                                                                                                  ;COORDENADOR GERAL DO SERVIÇO PÚBLICO FEDERAL                                                                                                
111405;Dirigente do Serviço Público Federal                                                                                                                  ;DIRETOR DO SERVIÇO PÚBLICO FEDERAL                                                                                                          
111405;Dirigente do Serviço Público Federal                                                                                                                  ;FUNCIONÁRIO PÚBLICO FEDERAL SUPERIOR                                                                                                        
111405;Dirigente do Serviço Público Federal                                                                                                                  ;GERENTE DO SERVIÇO PÚBLICO FEDERAL                                                                                                          
111405;Dirigente do Serviço Público Federal                                                                                                                  ;MINISTRO (DIPLOMACIA)                                                                                                                       
111405;Dirigente do Serviço Público Federal                                                                                                                  ;SECRETÁRIO (DIPLOMACIA)                                                                                                                     
111405;Dirigente do Serviço Público Federal                                                                                                                  ;SECRETÁRIO DE ESTADO (SERVIÇO PÚBLICO FEDERAL)                                                                                              
111405;Dirigente do Serviço Público Federal                                                                                                                  ;SUBSECRETÁRIO DE ESTADO (SERVIÇO PÚBLICO FEDERAL)                                                                                           
111410;Dirigente do Serviço Público Estadual e Distr                                                                                                         ;CHEFE DO SERVIÇO PÚBLICO ESTADUAL E DISTRITAL                                                                                               
111410;Dirigente do Serviço Público Estadual e Distr                                                                                                         ;COORDENADOR DO SERVIÇO PÚBLICO ESTADUAL E DISTRITAL                                                                                         
111410;Dirigente do Serviço Público Estadual e Distr                                                                                                         ;FUNCIONÁRIO PÚBLICO ESTADUAL E DISTRITAL SUPERIOR                                                                                           
111410;Dirigente do Serviço Público Estadual e Distr                                                                                                         ;GERENTE DO SERVIÇO PÚBLICO ESTADUAL E DISTRITAL                                                                                             
111410;Dirigente do Serviço Público Estadual e Distr                                                                                                         ;SECRETÁRIO ESTADUAL E DISTRITAL (SERVIÇO PÚBLICO ESTADUAL E DISTRITAL)                                                                      
